Point Que,Real Distance,Edge 1 Distance,Edge 2 Distance,Angle 1 Distance,Angle 2 Distance
1,1270,689.9137080246235,-1311.9313388183336,400,497
2,1292,656.5736281063272,-1317.6768946930754,400,405
3,1268,647.9788929012203,-1449.1527693225505,400,354
4,1283,662.0379944495261,-1442.1383084241197,400,400
5,1319,656.070503996606,-1306.2397843507665,400,380
6,1306,624.0552463401999,-1261.898846571485,400,310
7,1274,661.3431491402356,-1229.4294531758615,400,425
8,1255,677.3280263993381,-1498.2761615031156,400,302
9,1390,624.0596494549162,-1392.6723350892087,400,351
10,1287,622.2545677930059,-1328.8525561502959,400,449
11,1289,680.3307873704333,-1449.7412171540266,400,418
12,1379,654.7267989965995,-1460.5585973235934,400,409
13,1311,676.1762426717107,-1257.4059909473842,400,333
14,1365,663.5262869002253,-1325.2255511460833,400,326
15,1318,691.3991762828689,-1353.0459438554758,400,438
16,1277,696.2391029518101,-1243.2145002387076,400,422
17,1338,660.1541795449828,-1371.40816865207,400,383
18,1342,621.8158084221927,-1263.554972952367,400,363
19,1366,687.2510044005792,-1280.0018071429677,400,459
20,1285,635.9230886497903,-1212.7253429156222,400,440
21,1384,666.7849305468848,-1435.0513016200728,400,436
22,1289,661.9174243984003,-1423.9014513865343,400,307
23,1243,641.3724599462802,-1481.1660913211465,400,324
24,1321,679.4884811091212,-1424.647425322976,400,437
25,1339,644.8253429307355,-1363.0911771016508,400,498
26,1392,695.7778200093609,-1231.73334605843,400,345
27,1365,639.8547741245292,-1439.090307066445,400,418
28,1292,620.3591258154199,-1326.8887450513853,400,388
29,1390,667.5465030161885,-1458.2902046379513,400,453
30,1299,661.2786505830551,-1388.775412862739,400,326
31,1361,645.0628549058388,-1353.092599237134,400,488
32,1390,643.6581447942164,-1409.80099973802,400,349
33,1397,617.5109954601614,-1443.5568870365794,400,344
34,1259,693.6188659375854,-1400.3368037185758,400,481
35,1277,655.8646286222887,-1261.6137905286548,400,420
36,1246,655.763464090115,-1412.5678958661338,400,452
37,1289,668.0742543008058,-1483.6323456893394,400,492
38,1368,670.9829681260973,-1457.6311428536237,400,372
39,1253,644.9244618658804,-1318.5594354788818,400,382
40,1249,687.2327520266889,-1238.5577791566432,400,427
41,1272,674.0753158155164,-1481.9288612830405,400,462
42,1357,674.3972675541579,-1245.3758150669141,400,355
43,1262,675.2026398949561,-1362.849978512806,400,340
44,1281,649.3127390053933,-1378.7866507364906,400,334
45,1360,671.6056046404482,-1231.4139358888297,400,396
46,1376,643.0023640167866,-1274.772015567964,400,353
47,1254,631.7256743099654,-1371.2351352427795,400,405
48,1248,650.9462528345942,-1409.3741133585818,400,314
49,1379,661.2990518600544,-1218.7192122923261,400,500
50,1288,694.273736791265,-1462.1450431664925,400,419
51,1309,655.8913860746133,-1410.7632173302932,400,340
52,1351,679.3323700027079,-1210.7483153941484,400,458
53,1354,659.8596473295717,-1409.284725608875,400,475
54,1348,680.5572366995501,-1341.7556372747658,400,469
55,1248,646.5716728178174,-1271.1818494658546,400,490
56,1395,689.3241301586837,-1391.461444092687,400,382
57,1274,691.8464387750396,-1442.7939056281496,400,340
58,1369,699.5295942714478,-1473.5730810287648,400,367
59,1350,659.3530642031974,-1227.6168780184662,400,360
60,1282,648.257539219731,-1442.7750921799006,400,399
61,1246,657.6679636615232,-1267.207469161189,400,374
62,1296,656.6260020529462,-1476.7341156362468,400,411
63,1361,656.2402119369891,-1440.7388245934812,400,479
64,1280,664.1197696062451,-1302.1619258143096,400,345
65,1362,666.5383375312879,-1387.496857217658,400,353
66,1356,682.8861154233398,-1375.169906738676,400,319
67,1268,669.4401452403179,-1465.8800151389194,400,353
68,1295,647.5833252111032,-1327.1865796583966,400,344
69,1387,692.2082393092866,-1383.1263304544382,400,372
70,1341,639.8195515332585,-1456.1175337313177,400,300
71,1286,670.278617271846,-1476.9468952934326,400,367
72,1254,694.6117530809604,-1304.6040651048315,400,448
